
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D0:58:FC:F3:E8:B6, 2025-03-12 21:09:33, 2025-03-12 21:09:43,  1, 130, WPA2, CCMP, PSK, -85,        1,        2,   0.  0.  0.  0,   8, SKYYPIPS, 
70:97:41:34:F9:BA, 2025-03-12 21:09:39, 2025-03-12 21:09:42, 11, 195, WPA2, CCMP, PSK, -82,        3,        1,   0.  0.  0.  0,   9, BT-KSCJPG, 
72:09:86:31:0D:92, 2025-03-12 21:09:41, 2025-03-12 21:09:41, 11, 195, WPA2, CCMP, PSK, -82,        1,        0,   0.  0.  0.  0,   9, , 
04:09:86:31:0D:96, 2025-03-12 21:09:42, 2025-03-12 21:09:42, 11, 195, WPA2, CCMP, PSK, -82,        0,        0,   0.  0.  0.  0,  14, PLUSNET-W9C36W, 
14:49:BC:37:C2:90, 2025-03-12 21:09:33, 2025-03-12 21:09:45,  1, 270, WPA2, CCMP, PSK, -45,       10,        2,   0.  0.  0.  0,   5, AIR2X, 
96:A6:7E:5A:A4:5B, 2025-03-12 21:09:33, 2025-03-12 21:09:44,  6, 130, WPA3 WPA2, CCMP, SAE, -17,       14,        0,   0.  0.  0.  0,  10, lab-wstt-2, 
96:A6:7E:5A:A4:5C, 2025-03-12 21:09:33, 2025-03-12 21:09:44,  6, 130, WPA2, CCMP, MGT, -17,       14,        0,   0.  0.  0.  0,  10, lab-wstt-3, 
94:A6:7E:5A:A4:5A, 2025-03-12 21:09:33, 2025-03-12 21:09:44,  6, 130, WPA2, CCMP, PSK, -16,       14,        0,   0.  0.  0.  0,  10, lab-wstt-1, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
04:17:B6:DB:2A:D1, 2025-03-12 21:09:33, 2025-03-12 21:09:33, -59,        2, 14:49:BC:37:C2:90,
F0:F6:C1:13:44:5B, 2025-03-12 21:09:33, 2025-03-12 21:09:43, -40,        2, (not associated) ,Sonos_xKucgSnamn1otFXfOs48kV132J

